Overall,,,,,,,,,,,,,,
,,,,,,,Fixed Ratings,,,,,,,
Temple,167.55,141.95,155.7,137.71,137.72,,167.55,141.95,155.7,137.71,137.72,,150.7275,143.27
Georgia Tech,167.26,185.72,172.2,143.14,180.57,,167.26,185.72,172.2,143.14,180.57,,167.08,170.4075
Wake Forest,167.26,174.82,160.87,148.32,153.48,,167.26,174.82,160.87,148.32,153.48,,162.8175,159.3725
Rutgers,167.16,171.46,173.71,176.18,219.65,,167.16,171.46,173.71,176.18,219.65,,172.1275,185.25
Memphis,166.81,147.68,130.4,125.88,114.76,,166.81,147.68,130.4,125.88,114.76,,142.6925,129.68
UCF,165.74,159.02,165.79,136.69,110.95,,165.74,159.02,165.79,136.69,110.95,,156.81,143.1125
Virginia,163.79,179.54,204.94,203.2,219,,163.79,179.54,204.94,203.2,219,,187.8675,201.67
Syracuse,163.54,169.14,176.8,144.45,165.66,,163.54,169.14,176.8,144.45,165.66,,163.4825,164.0125
USF,162.38,162.72,190.54,173.78,179.41,,162.38,162.72,190.54,173.78,179.41,,172.355,176.6125
Colorado,160.05,162.12,144.97,148.16,199.39,,160.05,162.12,144.97,148.16,199.39,,153.825,163.66
UAB,159.91,0,97.63,125.45,93.04,,159.91,0,97.63,125.45,93.04,,95.7475,79.03
Kansas,159.14,151.33,176.39,178.85,125.94,,159.14,151.33,176.39,178.85,125.94,,166.4275,158.1275
Boise State,159.06,171.45,159.21,172.95,167.2,,159.06,171.45,159.21,172.95,167.2,,165.6675,167.7025
Western Michigan,158.79,148.39,153.7,100.8,112.79,,158.79,148.39,153.7,100.8,112.79,,140.42,128.92
Illinois,153.58,182.36,152.35,177.6,159.74,,153.58,182.36,152.35,177.6,159.74,,166.4725,168.0125
Georgia Southern,153.51,129.03,120.95,29.36,24.75,,153.51,129.03,120.95,29.36,24.75,,108.2125,76.0225
Cincinnati,151.61,163.32,161.11,159.05,183.19,,151.61,163.32,161.11,159.05,183.19,,158.7725,166.6675
Kansas State,151.39,173.16,177.47,160.68,137.35,,151.39,173.16,177.47,160.68,137.35,,165.675,162.165
SMU,151.38,143.56,128.3,146.79,148.28,,151.38,143.56,128.3,146.79,148.28,,142.5075,141.7325
Colorado State,150.55,104.52,123.25,132.55,60.76,,150.55,104.52,123.25,132.55,60.76,,127.7175,105.27
East Carolina,148.45,127.81,142.56,147.91,130.88,,148.45,127.81,142.56,147.91,130.88,,141.6825,137.29
Boston College,147.97,166.13,175.46,126.12,142.89,,147.97,166.13,175.46,126.12,142.89,,153.92,152.65
Purdue,144.94,164.54,157.42,159.12,184.57,,144.94,164.54,157.42,159.12,184.57,,156.505,166.4125
UNLV,144.65,120.01,89.8,120.23,102.45,,144.65,120.01,89.8,120.23,102.45,,118.6725,108.1225
Massachusetts,142.3,120.17,90.2,118.77,19.91,,142.3,120.17,90.2,118.77,19.91,,117.86,87.2625
San Diego State,139.05,163.79,148.06,145.85,137.73,,139.05,163.79,148.06,145.85,137.73,,149.1875,148.8575
Tulane,136.97,128.68,120.75,133.49,123.24,,136.97,128.68,120.75,133.49,123.24,,129.9725,126.54
Fresno State,135.59,155.13,126.85,144.25,81.28,,135.59,155.13,126.85,144.25,81.28,,140.455,126.8775
New Mexico,135.27,107.96,111.82,123.3,116.03,,135.27,107.96,111.82,123.3,116.03,,119.5875,114.7775
Navy,135.22,115.75,94.58,95.49,77.25,,135.22,115.75,94.58,95.49,77.25,,110.26,95.7675
San Jose State,134.3,168.85,124.04,82.32,102.84,,134.3,168.85,124.04,82.32,102.84,,127.3775,119.5125
South Alabama,133.34,132.26,97.84,122.04,60.47,,133.34,132.26,97.84,122.04,60.47,,121.37,103.1525
Arkansas State,132.28,132.95,114.25,113.66,162.05,,132.28,132.95,114.25,113.66,162.05,,123.285,130.7275
Toledo,131.67,134.06,117.53,144,133.84,,131.67,134.06,117.53,144,133.84,,131.815,132.3575
Utah State,130.2,162.23,97.71,105.32,95.68,,130.2,162.23,97.71,105.32,95.68,,123.865,115.235
Troy,129.87,117.63,64.29,115.84,113.37,,129.87,117.63,64.29,115.84,113.37,,106.9075,102.7825
Louisiana Tech,129.41,143.37,124.81,123.39,108.99,,129.41,143.37,124.81,123.39,108.99,,130.245,125.14
Miami (OH),128.12,147.85,81.99,106.88,119.05,,128.12,147.85,81.99,106.88,119.05,,116.21,113.9425
Middle Tennessee State,127.79,133.6,122.13,125.9,80.89,,127.79,133.6,122.13,125.9,80.89,,127.355,115.63
Tulsa,127.52,114.02,128.58,137.51,117.25,,127.52,114.02,128.58,137.51,117.25,,126.9075,124.34
Southern Miss,126.49,133.47,130.09,132.31,146.72,,126.49,133.47,130.09,132.31,146.72,,130.59,135.6475
Western Kentucky,125.93,114.09,120.8,121.26,109.01,,125.93,114.09,120.8,121.26,109.01,,120.52,116.29
Florida Atlantic,125.69,145.75,114.9,128.15,123.46,,125.69,145.75,114.9,128.15,123.46,,128.6225,128.065
FIU,124.31,124.73,102.91,101.26,134.23,,124.31,124.73,102.91,101.26,134.23,,113.3025,115.7825
North Texas,123.78,126.72,105.66,94.5,109.58,,123.78,126.72,105.66,94.5,109.58,,112.665,109.115
Connecticut,123.67,122.86,97.85,157.16,143.05,,123.67,122.86,97.85,157.16,143.05,,125.385,130.23
Nevada,122.01,120.94,126.7,124.4,130.84,,122.01,120.94,126.7,124.4,130.84,,123.5125,125.72
Hawaii,121.43,93.46,108.61,138.94,121.83,,121.43,93.46,108.61,138.94,121.83,,115.61,115.71
Old Dominion,119.17,122.17,144.24,75.52,40.57,,119.17,122.17,144.24,75.52,40.57,,115.275,95.625
Texas-San Antonio,117.44,120.58,81.76,106.81,61.78,,117.44,120.58,81.76,106.81,61.78,,106.6475,92.7325
Louisiana-Lafayette,117.34,146.25,102.11,140.25,96.09,,117.34,146.25,102.11,140.25,96.09,,126.4875,121.175
Army,116.25,102.12,80.46,70.68,34.14,,116.25,102.12,80.46,70.68,34.14,,92.3775,71.85
Texas State,114.8,126.13,109.6,121.25,95.41,,114.8,126.13,109.6,121.25,95.41,,117.945,113.0975
Ball State,112.08,114.14,104.9,102.32,108.02,,112.08,114.14,104.9,102.32,108.02,,108.36,107.345
Northern Illinois,110.84,135.87,109.96,108.66,100.92,,110.84,135.87,109.96,108.66,100.92,,116.3325,113.8525
Air Force,109.83,89.65,97.93,112.68,121.46,,109.83,89.65,97.93,112.68,121.46,,102.5225,105.43
Wyoming,108.13,118.84,82.31,102.68,88.81,,108.13,118.84,82.31,102.68,88.81,,102.99,98.16
Charlotte,108.02,87.53,92.58,102,19.34,,108.02,87.53,92.58,102,19.34,,97.5325,75.3625
Ohio,107.77,132.38,102.45,91.72,112.25,,107.77,132.38,102.45,91.72,112.25,,108.58,109.7
Louisiana-Monroe,107.09,117.99,84.11,72.64,88.4,,107.09,117.99,84.11,72.64,88.4,,95.4575,90.785
Appalachian State,106.72,112.49,123.34,75.26,38.74,,106.72,112.49,123.34,75.26,38.74,,104.4525,87.4575
Bowling Green,106.05,116.77,101.48,137.62,113.01,,106.05,116.77,101.48,137.62,113.01,,115.48,117.22
UTEP,105.17,69.32,85.83,84.91,83.29,,105.17,69.32,85.83,84.91,83.29,,86.3075,80.8375
Central Michigan,104.92,125.69,87.62,106.44,118.95,,104.92,125.69,87.62,106.44,118.95,,106.1675,109.675
Eastern Michigan,104.7,110.82,84.86,94.97,92.83,,104.7,110.82,84.86,94.97,92.83,,98.8375,95.87
Buffalo,104.22,106.1,110.69,66.73,77.86,,104.22,106.1,110.69,66.73,77.86,,96.935,90.345
Yale,99.6,45.13,72.39,67.24,18.55,,99.6,45.13,72.39,67.24,18.55,,71.09,50.8275
Georgia State,99.15,93.19,106.78,65.9,21.87,,99.15,93.19,106.78,65.9,21.87,,91.255,71.935
Idaho,97.18,98.61,79,79.99,90.15,,97.18,98.61,79,79.99,90.15,,88.695,86.9375
Coastal Carolina,96.04,36.87,13.46,37.42,3.98,,96.04,36.87,13.46,37.42,3.98,,45.9475,22.9325
Rice,94.39,118.29,116.38,122.51,119.15,,94.39,118.29,116.38,122.51,119.15,,112.8925,119.0825
New Mexico State,93.63,93.38,87.81,87.63,119.49,,93.63,93.38,87.81,87.63,119.49,,90.6125,97.0775
Akron,85.08,81.47,101.86,98.15,59.6,,85.08,81.47,101.86,98.15,59.6,,91.64,85.27
Columbia,83.3,9.51,6.67,10.81,0,,83.3,9.51,6.67,10.81,0,,27.5725,6.7475
Kent State,82.32,123.17,81.79,94.14,102.12,,82.32,123.17,81.79,94.14,102.12,,95.355,100.305
Lamar,79.32,6.33,16.47,15,11.11,,79.32,6.33,16.47,15,11.11,,29.28,12.2275
Austin Peay,70.13,26.7,27.74,21.05,#N/A,,70.13,26.7,27.74,21.05,0,,36.405,18.8725
Stephen F. Austin,69.13,41.36,#N/A,20.39,#N/A,,69.13,41.36,0,20.39,0,,32.72,15.4375
Harvard,66.28,65.15,41.27,46.83,0,,66.28,65.15,41.27,46.83,0,,54.8825,38.3125
Sam Houston State,65.45,21.84,#N/A,20.99,#N/A,,65.45,21.84,0,20.99,0,,27.07,10.7075
Tennessee State,65.26,8.06,26.63,15.12,13.4,,65.26,8.06,26.63,15.12,13.4,,28.7675,15.8025
Abilene Christian University,64.99,31.35,47.07,14,#N/A,,64.99,31.35,47.07,14,0,,39.3525,23.105
UC Davis,64.71,7.33,27.36,9,#N/A,,64.71,7.33,27.36,9,0,,27.1,10.9225
Florida A&M,62.25,30.84,0,15.85,#N/A,,62.25,30.84,0,15.85,0,,27.235,11.6725
North Dakota State,62.24,55.49,31.77,0,0,,62.24,55.49,31.77,0,0,,37.375,21.815
Montana,62.14,23.19,#N/A,6.83,11.2,,62.14,23.19,0,6.83,11.2,,23.04,10.305
Samford,61.79,31.57,35.29,46.68,0,,61.79,31.57,35.29,46.68,0,,43.8325,28.385
Central Arkansas,60.86,21.06,9.16,28.91,3.98,,60.86,21.06,9.16,28.91,3.98,,29.9975,15.7775
Bethune-Cookman,57.47,25.23,20.67,20.61,23.44,,57.47,25.23,20.67,20.61,23.44,,30.995,22.4875
Jacksonville State,57,54.65,49.71,36.01,#N/A,,57,54.65,49.71,36.01,0,,49.3425,35.0925
Northern Iowa,53.74,26.97,22.16,6.67,17.64,,53.74,26.97,22.16,6.67,17.64,,27.385,18.36
Rhode Island,47.79,25.98,17,0,0,,47.79,25.98,17,0,0,,22.6925,10.745
Tennessee Tech,47.27,19.27,33.05,20.03,#N/A,,47.27,19.27,33.05,20.03,0,,29.905,18.0875
Murray State,42.76,12,27.09,33.54,#N/A,,42.76,12,27.09,33.54,0,,28.8475,18.1575
Western Carolina,42.13,45.85,3.99,7.85,4.98,,42.13,45.85,3.99,7.85,4.98,,24.955,15.6675
Southeastern Louisiana,41.56,24.53,14.96,17.22,0,,41.56,24.53,14.96,17.22,0,,24.5675,14.1775
McNeese State,40.74,10.94,14.23,16.28,21.19,,40.74,10.94,14.23,16.28,21.19,,20.5475,15.66
South Dakota State,39.62,27.83,17.28,10,0,,39.62,27.83,17.28,10,0,,23.6825,13.7775
Furman,38.99,32.97,29.63,18.44,3.31,,38.99,32.97,29.63,18.44,3.31,,30.0075,21.0875
Northern Colorado,38.25,0,13.31,9.67,0,,38.25,0,13.31,9.67,0,,15.3075,5.745
James Madison,37.57,34.09,19.95,13.67,46.17,,37.57,34.09,19.95,13.67,46.17,,26.32,28.47
Pennsylvania,36.91,0,14,33.46,22.84,,36.91,0,14,33.46,22.84,,21.0925,17.575
Dartmouth,36.47,19.9,0,0,19.37,,36.47,19.9,0,0,19.37,,14.0925,9.8175
Chattanooga,36.32,63.53,70.47,30.55,10.48,,36.32,63.53,70.47,30.55,10.48,,50.2175,43.7575
Richmond,35.57,14.14,19.39,23.73,4.35,,35.57,14.14,19.39,23.73,4.35,,23.2075,15.4025
Northern Arizona,34.96,49.83,48.93,24.27,#N/A,,34.96,49.83,48.93,24.27,0,,39.4975,30.7575
Eastern Kentucky,33.93,11.06,6.67,#N/A,7.49,,33.93,11.06,6.67,0,7.49,,12.915,6.305
Delaware,33.86,32.56,22.83,28.68,0.98,,33.86,32.56,22.83,28.68,0.98,,29.4825,21.2625
Youngstown State,33,21.25,15.63,9.07,8.89,,33,21.25,15.63,9.07,8.89,,19.7375,13.71
Montana State,32.54,8,6.67,22.21,7.98,,32.54,8,6.67,22.21,7.98,,17.355,11.215
Stony Brook,31.98,7.83,38.23,19.75,#N/A,,31.98,7.83,38.23,19.75,0,,24.4475,16.4525
Princeton,31.59,29.03,32.34,0,10.24,,31.59,29.03,32.34,0,10.24,,23.24,17.9025
Nicholls State,31.26,#N/A,32.18,#N/A,#N/A,,31.26,0,32.18,0,0,,15.86,8.045
Mercer,31.07,17.1,23.59,0,#N/A,,31.07,17.1,23.59,0,0,,17.94,10.1725
Northwestern State,30.22,22.94,10.06,#N/A,#N/A,,30.22,22.94,10.06,0,0,,15.805,8.25
Gardner-Webb,30.13,12.41,#N/A,6,22.12,,30.13,12.41,0,6,22.12,,12.135,10.1325
Weber State,30.12,35.8,#N/A,0,7.99,,30.12,35.8,0,0,7.99,,16.48,10.9475
Liberty,29.77,25.13,1,0,22.63,,29.77,25.13,1,0,22.63,,13.975,12.19
Illinois State,28.62,32.3,74.02,19.87,0,,28.62,32.3,74.02,19.87,0,,38.7025,31.5475
Alcorn State,27.76,29,#N/A,26.37,0,,27.76,29,0,26.37,0,,20.7825,13.8425
Southern University,27.4,0,0,21.64,#N/A,,27.4,0,0,21.64,0,,12.26,5.41
Towson,26.88,49.21,21.89,9.99,10.79,,26.88,49.21,21.89,9.99,10.79,,26.9925,22.97
South Dakota,26.7,32.95,0,0,0,,26.7,32.95,0,0,0,,14.9125,8.2375
Alabama State,26.24,10,20.19,8.14,#N/A,,26.24,10,20.19,8.14,0,,16.1425,9.5825
Jackson State,25.44,9.56,14.47,8.47,#N/A,,25.44,9.56,14.47,8.47,0,,14.485,8.125
Villanova,24.47,36.53,12.11,15.15,#N/A,,24.47,36.53,12.11,15.15,0,,22.065,15.9475
Lehigh,24.32,21.26,7.54,20.15,10.54,,24.32,21.26,7.54,20.15,10.54,,18.3175,14.8725
Wofford,23.91,23.83,23.5,18.43,#N/A,,23.91,23.83,23.5,18.43,0,,22.4175,16.44
Southeast Missouri State,23.35,36.77,11.29,0,9.99,,23.35,36.77,11.29,0,9.99,,17.8525,14.5125
Cal Poly,23.12,35.02,0,#N/A,2.98,,23.12,35.02,0,0,2.98,,14.535,9.5
Eastern Washington,23.12,8.89,16.54,23.93,23.31,,23.12,8.89,16.54,23.93,23.31,,18.12,18.1675
Prairie View A&M,22.37,18.18,7.94,0,0,,22.37,18.18,7.94,0,0,,12.1225,6.53
Norfolk State,22.22,8,8,#N/A,6.36,,22.22,8,8,0,6.36,,9.555,5.59
Kennesaw State,22.21,12.67,31.28,#N/A,#N/A,,22.21,12.67,31.28,0,0,,16.54,10.9875
Robert Morris,22.17,15.01,9.98,0,#N/A,,22.17,15.01,9.98,0,0,,11.79,6.2475
Presbyterian,22.15,16.97,12.68,10,5.98,,22.15,16.97,12.68,10,5.98,,15.45,11.4075
Delaware State,22.14,5,9.86,#N/A,10.48,,22.14,5,9.86,0,10.48,,9.25,6.335
Eastern Illinois,21.41,0,23.16,#N/A,0,,21.41,0,23.16,0,0,,11.1425,5.79
William & Mary,21.21,27.25,18.22,12,11.07,,21.21,27.25,18.22,12,11.07,,19.67,17.135
South Carolina State,21.15,34.49,39.19,45.07,56.11,,21.15,34.49,39.19,45.07,56.11,,34.975,43.715
Southern Utah,19.16,6,#N/A,#N/A,0,,19.16,6,0,0,0,,6.29,1.5
Fordham,19.12,5.19,18.95,9.44,#N/A,,19.12,5.19,18.95,9.44,0,,13.175,8.395
Valdosta State,18.84,0,19.06,#N/A,6.78,,18.84,0,19.06,0,6.78,,9.475,6.46
Holy Cross,18.82,0,15.54,#N/A,#N/A,,18.82,0,15.54,0,0,,8.59,3.885
Albany,18.79,0,44.09,36.83,#N/A,,18.79,0,44.09,36.83,0,,24.9275,20.23
Morehead State,15.51,0,#N/A,#N/A,#N/A,,15.51,0,0,0,0,,3.8775,0
Portland State,14.99,0,61.28,7,20.11,,14.99,0,61.28,7,20.11,,20.8175,22.0975
New Hampshire,14.63,10,11.25,0,#N/A,,14.63,10,11.25,0,0,,8.97,5.3125
Angelo State,13,0,#N/A,#N/A,#N/A,,13,0,0,0,0,,3.25,0
Texas A&M-Kingsville,12.86,#N/A,#N/A,#N/A,#N/A,,12.86,0,0,0,0,,3.215,0
Sacred Heart,12.5,0,#N/A,#N/A,#N/A,,12.5,0,0,0,0,,3.125,0
Cornell,12.21,14.4,11,0,0,,12.21,14.4,11,0,0,,9.4025,6.35
Tennessee-Martin,11.94,39.81,10.91,8.83,#N/A,,11.94,39.81,10.91,8.83,0,,17.8725,14.8875
Bucknell,11.94,12.16,6.33,10.16,0,,11.94,12.16,6.33,10.16,0,,10.1475,7.1625
Texas A&M Commerce,11.67,16.15,#N/A,0,#N/A,,11.67,16.15,0,0,0,,6.955,4.0375
Western Illinois,11.29,24.06,11.11,0,10.55,,11.29,24.06,11.11,0,10.55,,11.615,11.43
Lafayette,11.15,17.07,15.96,#N/A,#N/A,,11.15,17.07,15.96,0,0,,11.045,8.2575
Wayne State,11.11,#N/A,#N/A,#N/A,0,,11.11,0,0,0,0,,2.7775,0
Savannah State,11.11,0,14.3,#N/A,#N/A,,11.11,0,14.3,0,0,,6.3525,3.575
Monmouth,10.99,27.11,19.59,0,8.39,,10.99,27.11,19.59,0,8.39,,14.4225,13.7725
Brown,10.69,0,#N/A,12,#N/A,,10.69,0,0,12,0,,5.6725,3
North Carolina Central,10.62,12.92,8.89,#N/A,4.98,,10.62,12.92,8.89,0,4.98,,8.1075,6.6975
Northwestern Oklahoma State,10.52,#N/A,#N/A,#N/A,#N/A,,10.52,0,0,0,0,,2.63,0
Charleston Southern,10.26,7.94,48.49,#N/A,#N/A,,10.26,7.94,48.49,0,0,,16.6725,14.1075
Southern Illinois,10,25.25,43.35,26.95,11.27,,10,25.25,43.35,26.95,11.27,,26.3875,26.705
Houston Baptist,9.95,#N/A,9.39,9.33,#N/A,,9.95,0,9.39,9.33,0,,7.1675,4.68
North Dakota,9.1,22.34,0,6.67,0,,9.1,22.34,0,6.67,0,,9.5275,7.2525
Incarnate Word,9.03,8.26,18.95,#N/A,#N/A,,9.03,8.26,18.95,0,0,,9.06,6.8025
Hampton,8.98,12.89,9.06,#N/A,17.8,,8.98,12.89,9.06,0,17.8,,7.7325,9.9375
Elon,8.98,11.07,0,2,0,,8.98,11.07,0,2,0,,5.5125,3.2675
Colgate,8.89,21.34,6.67,9.53,#N/A,,8.89,21.34,6.67,9.53,0,,11.6075,9.385
Idaho State,8.89,8.59,#N/A,0,6.5,,8.89,8.59,0,0,6.5,,4.37,3.7725
Missouri State,8.53,10,23.4,#N/A,#N/A,,8.53,10,23.4,0,0,,10.4825,8.35
Alabama A&M,8.42,#N/A,#N/A,10,#N/A,,8.42,0,0,10,0,,4.605,2.5
North Carolina A&T,7.98,0,6.67,#N/A,0,,7.98,0,6.67,0,0,,3.6625,1.6675
San Diego,7.78,#N/A,#N/A,#N/A,#N/A,,7.78,0,0,0,0,,1.945,0
Virginia Military Institute,6.98,0,0,13.96,15.27,,6.98,0,0,13.96,15.27,,5.235,7.3075
Florida Tech,6.67,#N/A,#N/A,#N/A,#N/A,,6.67,0,0,0,0,,1.6675,0
Campbell,6.67,0,6,0,#N/A,,6.67,0,6,0,0,,3.1675,1.5
Emporia State,6.67,#N/A,#N/A,#N/A,#N/A,,6.67,0,0,0,0,,1.6675,0
North Alabama,6.67,#N/A,0,7,#N/A,,6.67,0,0,7,0,,3.4175,1.75
Drake,3.97,0,#N/A,#N/A,0,,3.97,0,0,0,0,,0.9925,0
Saginaw Valley State,3.3,0,#N/A,#N/A,#N/A,,3.3,0,0,0,0,,0.825,0
Citadel,3.25,30.6,16.8,14.96,1.98,,3.25,30.6,16.8,14.96,1.98,,16.4025,16.085
Southwest Minnesota State,2.97,6.56,0,#N/A,#N/A,,2.97,6.56,0,0,0,,2.3825,1.64
Wagner,0,0,0,13.06,13.49,,0,0,0,13.06,13.49,,3.265,6.6375
Delta State,0,16.54,#N/A,#N/A,#N/A,,0,16.54,0,0,0,,4.135,4.135
Pittsburg State,0,#N/A,#N/A,#N/A,#N/A,,0,0,0,0,0,,0,0
Valparaiso,0,13.67,#N/A,#N/A,#N/A,,0,13.67,0,0,0,,3.4175,3.4175
Morgan State,0,0,#N/A,0,#N/A,,0,0,0,0,0,,0,0
Mississippi Valley State,0,0,#N/A,#N/A,#N/A,,0,0,0,0,0,,0,0
Northwest Missouri State,0,0,10.17,#N/A,0,,0,0,10.17,0,0,,2.5425,2.5425
Marist,0,13.68,0,#N/A,#N/A,,0,13.68,0,0,0,,3.42,3.42
Bryant University,0,0,#N/A,0,#N/A,,0,0,0,0,0,,0,0
Midwestern State,0,#N/A,0,#N/A,0,,0,0,0,0,0,,0,0
Harding University,0,#N/A,#N/A,#N/A,0,,0,0,0,0,0,,0,0
East Tennessee State,0,31.34,24.78,#N/A,#N/A,,0,31.34,24.78,0,0,,14.03,14.03
Grambling State,0,#N/A,13.22,0,0,,0,0,13.22,0,0,,3.305,3.305
