Sagarin_ratings,,
,,
Miami-Ohio,54.61,132
Eastern Mich,54.42,133
Cal Poly-SLO,54.39,134
Louisiana-La,54.25,135
Massachusett,53.79,136
Wofford,53.66,137
San Jose Sta,53.22,138
North Dakota,53.15,139
Kansas,52.99,140
Liberty,52.94,141
Idaho,52.89,142
South Dakota,52.8,143
Fresno State,52.62,144
New Hampshir,52.04,145
NC A&T,51.49,146
Bowling Gree,50.87,147
Princeton,50.61,148
Colgate,50.6,149
Southern Ill,50.16,150
Harvard,50.15,151
Rice,50.15,152
Pennsylvania,49.09,153
Fla. Interna,48.93,154
Albany-NY,48.8,155
Tennessee-Ma,48.78,156
Southern Uta,48.61,157
Grambling St,48.51,158
Indiana Stat,48.48,159
Buffalo,47.79,160
Florida Atla,47.09,161
Eastern Illi,46.86,162
Stony Brook,46.73,163
San Diego,46.68,164
Furman,46.66,165
Weber State,46.65,166
New Mexico S,46.53,167
Saint Franci,46.3,168
UTEP,46.28,169
Mercer,46.2,170
McNeese Stat,45.83,171
Maine,45.78,172
Kennesaw Sta,45.66,173
William & Ma,45.47,174
Charlotte,45.14,175
Missouri Sta,44.89,176
Louisiana-Mo,44.54,177
Dartmouth,44.3,178
Fordham,44.18,179
Tennessee St,44.17,180
Delaware,44.13,181
Portland Sta,44.05,182
SE Missouri,44.01,183
Northern Col,43.52,184
Towson,43.3,185
Eastern Kent,42.93,186
Texas State,42.77,187
Lamar,42.34,188
Montana Stat,42.18,189
UC Davis,42.07,190
Western Caro,41.6,191
Gardner-Webb,41.25,192
Duquesne,41.05,193
SE Louisiana,40.78,194
Tennessee Te,40.75,195
Murray State,39.24,196
SC State,39,197
Nicholls Sta,38.47,198
Sacred Heart,38.32,199
Holy Cross,38.21,200
Stephen F. A,38.16,201
NC Central,37.8,202
Dayton,37.33,203
VMI,36.9,204
Southern U.,36.39,205
Monmouth-NJ,36.1,206
Bucknell,36.1,207
Prairie View,35.15,208
Bryant,35.12,209
Yale,34.22,210
Northwestern,33.57,211
Bethune-Cook,33.51,212
Idaho State,33.12,213
Elon,32.88,214
Wagner,32.83,215
Cornell,32.56,216
Brown,32.14,217
Lafayette,32.09,218
Abilene Chri,31.92,219
Sacramento S,31.82,220
Hampton,31.45,221
Columbia,31.14,222
Alcorn State,30.21,223
Georgetown,30.16,224
Robert Morri,29.65,225
Central Conn,28.4,226
Presbyterian,27.82,227
Incarnate Wo,27.62,228
Austin Peay,27.46,229
Florida A&M,25.81,230
East Tenness,25.75,231
Rhode Island,25.73,232
Norfolk Stat,25.02,233
Drake,24.95,234
Alabama Stat,24.03,235
Houston Bapt,23.71,236
Texas Southe,23.04,237
Jackson Stat,22.86,238
Jacksonville,22.41,239
Marist,22.38,240
Morgan State,20.45,241
Howard,19.72,242
Alabama A&M,19.71,243
Morehead Sta,18.69,244
Butler,17.93,245
Stetson,17.17,246
Savannah Sta,16.86,247
Campbell,15.61,248
Delaware Sta,14.27,249
Valparaiso,11.38,250
Ark.-Pine Bl,6.82,251
Miss. Valley,5.9,252
Davidson,4.57,253
